km,brand,model,year,fuel_type,power,cylinder_capacity,transmission,pollution_norm,gearbox,body_type,number_of_doors,color,number_of_seats,color_option,vin,country_of_origin,owned,vehicle_condition,co2_emission,path_images,price,ad_id
171 000 km,Mercedes-Benz,GLC,2017,Diesel,204 CP,2 143 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Albastru,,Metalizata,Da,,,Second hand,161 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImJ0MHUwMGR2ejNrNjMtQVVUT1ZJVFJPIn0.Pr09pTBlRy43evPKfBQRNpuMlREwri0xoTgaNxbuGco/image;s=644x461,36 045,11055944-6c57-488c-b4f7-1794dbe4eb60
107 853 km,Renault,Megane,2018,Diesel,110 CP,1 461 cm3,Fata,Euro 6,Manuala,Compacta,5,Albastru,5,Metalizata,,Romania,Da,Second hand,120 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImlvN2Jwc2tldHNjbjEtQVVUT1ZJVFJPIn0.dDI6GCAspMxVNjuvw1jUYRDa4gQADEKfMoXx9v0LsZY/image;s=644x461,11 990,93e3557d-5452-44cf-b69d-9bbd4fed8c39
52 614 km,Volkswagen,ARTEON,2018,Benzina,190 CP,1 984 cm3,Fata,,Manuala,Sedan,5,Gri,5,,Da,,,Second hand,117 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjRzdnc1a2R0NGJiOTMtQVVUT1ZJVFJPIn0.Q_ccWu_bIerUj2WBm3_iHsZVAUCIdB0jzvDdysalP-k/image;s=320x240,22 500,e5e7c466-301b-46d2-b11d-7eec7a9e0255
104 641 km,Dacia,Lodgy,2019,Diesel,115 CP,1 461 cm3,Fata,Euro 6,Manuala,Monovolum,5,Alb,7,Metalizata,,Romania,Da,Second hand,113 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImgzdHNzOGpzZ3V5azItQVVUT1ZJVFJPIn0.OVZgWvvNkBxmnwRGY7Awf3l3jvB5lVbEnKR_e8EZYyM/image;s=644x461,12 788,4c42e28d-12d4-4ac8-9ddf-975cffeeef7f
55 km,Renault,Kadjar,2022,Benzina,140 CP,1 332 cm3,Fata,Euro 6,Manuala,SUV,5,Albastru,5,Metalizata,,,Da,Nou,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im4zem56ZGhndmg5cjMtQVVUT1ZJVFJPIn0.5IRLF94Gpj9s7pQLyrqP_5royntwuEqBAsF7XVWjS7k/image;s=644x461,25 349,1e11914f-e84f-40f1-a15e-ca0ccd9e9ada
40 km,Renault,Kadjar,2022,Diesel,116 CP,1 461 cm3,Fata,Euro 6,Automata,SUV,5,Rosu,5,Metalizata,,,Da,Nou,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImloZmx5NTlmZTlmcDMtQVVUT1ZJVFJPIn0.U_uJg7wvfkmgRr6yfxbdqQxpvzjbqccomdYH8dBMrjA/image;s=644x461,31 237,b3e5f8a6-ee48-421e-8f41-6afc7be605e9
21 820 km,Volvo,S60,2020,Benzina,250 CP,1 969 cm3,,Euro 6,Automata,Sedan,4,Negru,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InkzZHRpMmJuczI4ejItQVVUT1ZJVFJPIn0.7D7MGo35EctyGGIcd-VpisooRn95sY1IKYaKXLnXA0s/image;s=644x461,42 989,c23990e9-de14-4bf2-aa90-dd86c87f2571
90 km,Bentley,Bentayga,2023,Benzina,550 CP,3 996 cm3,,Euro 6,Automata,SUV,5,Alte culori,,Metalizata,,,Da,Nou,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im9yb2N6MmY2MG5mZzItQVVUT1ZJVFJPIn0.-7Y-hC7QLw4KjmA56uwrTSTkPONHzO5gD7-V3WuGldc/image;s=644x461,323 900,618a31f1-e888-4719-a916-a5372ba324d4
124 000 km,Mercedes-Benz,S,2015,Benzina,585 CP,5 461 cm3,4x4 (automat),Euro 6,Automata,Coupe,2,Alb,4,Perlat,Da,,,Second hand,242 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjFtNTIxZnVic2Q0NzItQVVUT1ZJVFJPIn0.S9NFlEo_dhra6-e8V8BKiKvgm6wdPRVghvHTZGKZGwo/image;s=644x461,73 006,b87ea6c3-a497-4497-b1c5-71505b4bd8d0
59 496 km,Volkswagen,up!,2018,Benzina,75 CP,999 cm3,Fata,,Manuala,Masina mica,5,Gri,4,,Da,,,Second hand,96 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijc4ejBseW5teWwyMDMtQVVUT1ZJVFJPIn0.IY6DimriGGdI9HUkk6JjxiCbbigXPt3PMKhsh7Kqs5o/image;s=320x240,8 300,4f6919f5-5a9a-49a4-9e1a-a2a9c2ce16fc
38 400 km,Volvo,XC 60,2020,Diesel,197 CP,1 969 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Gri,5,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImF4OWdyb3JiemJhZzMtQVVUT1ZJVFJPIn0.yOYDY_2Znb1sdJu5hbDr9mry2poJRCYcF1CvliWS-XY/image;s=644x461,44 469,c6722972-24df-4e27-b421-373c58d18c1a
62 240 km,Volvo,XC 60,2019,Benzina,250 CP,1 969 cm3,,Euro 6,Automata,SUV,5,Alb,,Metalizata,,,,Second hand,167 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjlpYW11bnIzeGVqNy1BVVRPVklUUk8ifQ.C8O-idzKeer6-V2WicXQIoh2sDhsGVaxIBZ6m1xxP9w/image;s=644x461,41 240,f389a6cf-1f73-405b-b973-4e3e46090e3d
15 800 km,Mercedes-Benz,A,2019,Benzina,163 CP,1 332 cm3,,Euro 6,Automata,Sedan,4,Alb,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjQ4aGpyNjdwdHJ0ZDEtQVVUT1ZJVFJPIn0.fGJ9fV1IQzy-UZ4fVpcuwlL1Nson-qBjeLhZcSG4sLo/image;s=644x461,37 426,d4c79f26-3115-40b7-88ef-5b8c1b91d6ce
170 000 km,Mercedes-Benz,C,2015,Diesel,204 CP,2 143 cm3,Spate,Euro 6,Automata,Sedan,4,Alb,5,Metalizata,,Germania,Da,Second hand,109 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjVmbjEyc3V3NmgzZzItQVVUT1ZJVFJPIn0.MS61NAronsdTn9kT2FjJlZX_Jqox96K8Snebtynyt6Q/image;s=320x240,21 950,dabff426-ce19-45b3-8244-5e82e19fca91
126 419 km,Volkswagen,Golf,2019,Diesel,115 CP,1 598 cm3,Fata,Euro 6,Manuala,Compacta,5,Gri,5,Metalizata,,Romania,Da,Second hand,106 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImQ3OWhvandzNDQxODMtQVVUT1ZJVFJPIn0.EuJwDOyrwSeMyr9AlzgRWYM-DSVLMRbxlJVW-EiGqM8/image;s=644x461,12 990,941e9fe3-99bd-42b8-8204-e94600f50c6c
8 km,Hyundai,Tucson,2023,Hibrid,230 CP,1 598 cm3,,Euro 6,Automata,SUV,5,Gri,,Metalizata,,,Da,Nou,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjRzZThvazVnNTk2MzItQVVUT1ZJVFJPIn0.RrGu6sZXhiqeva79nNg4jnaThynrR5P-XckYmNPKx3c/image;s=644x461,45 242,2d30f985-1548-4444-b69b-c4d38c11130d
18 km,Renault,Kadjar,2022,Benzina,140 CP,1 332 cm3,Fata,Euro 6,Manuala,SUV,5,Rosu,5,Metalizata,,,Da,Nou,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjJ6OG42c2w0MG9mczItQVVUT1ZJVFJPIn0.zHKWUS62KUqGEBOurJlyhqKx52cuZiuxXUJHqfpQuNk/image;s=644x461,25 349,a351c47b-086b-4178-8580-d1357e445ec9
43 350 km,BMW,X1,2020,Benzina,192 CP,1 998 cm3,,Euro 6,Automata,SUV,5,Negru,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InNmcTVoNnV0dnptaDEtQVVUT1ZJVFJPIn0.kZgqB_L0HYQH1nmH7r1KsVYcTceXQaVCRlRiO-WThjY/image;s=644x461,30 444,6aeb35ba-ac42-404d-9ea2-8c48321b0190
55 183 km,Toyota,Proace,2019,Diesel,177 CP,1 997 cm3,Fata,Euro 6,Automata,Monovolum,5,Gri,7,Metalizata,,Romania,Da,Second hand,166 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IndwcXdvNWw3MGg5MzMtQVVUT1ZJVFJPIn0.H9IR02lSyS9yulk5UKhztOTk-nY9Xy_JBdalI8SHXIk/image;s=644x461,34 999,ca095c3b-e8c0-45ec-b9ba-d54ed00c30d7
163 894 km,Skoda,Octavia,2018,Diesel,116 CP,1 598 cm3,Fata,Euro 6b,Automata,Combi,5,Negru,5,Perlat,Da,Olanda,,Second hand,102 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InM2bjdkY2ZkazZ5MjMtQVVUT1ZJVFJPIn0.S1cqpRyG_SpPYJq4r40DbWS1qwLzgY8g1yA4mKEyYec/image;s=644x461,16 900,b5a38a75-75be-40fb-9f7b-d1d30967a461
105 000 km,BMW,Seria 6,2011,Benzina,407 CP,4 395 cm3,4x4 (automat),Euro 5,Automata,Coupe,2,Rosu,4,Metalizata,Da,Romania,,Second hand,249 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImxmZGhsZTR3dHgyMTMtQVVUT1ZJVFJPIn0.2d82bG3vVq16uEVmbxjvvWH24x_xgug866fZiZxdDKE/image;s=644x461,21 420,5b98cc8e-185d-4161-b2cc-52bf0a5e0a63
219 000 km,BMW,X1,2012,Diesel,177 CP,1 995 cm3,4x4 (manual),Euro 5,Automata,SUV,5,Maro,5,Metalizata,Da,Germania,,Second hand,164 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImRrdTlhMmdwbXU2bDMtQVVUT1ZJVFJPIn0.-7lMQsfaCfJiYvZXfOwDlAfZkIEGN67DcIvgbqhbsgY/image;s=320x240,12 900,1a0c4324-5c6b-40d8-85d2-d58ba9646dca
173 282 km,Audi,Q3,2015,Diesel,150 CP,1 968 cm3,4x4 (automat),,Automata,SUV,5,Negru,5,,Da,,,Second hand,132 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imdqb2xkaDFwbDBkMzMtQVVUT1ZJVFJPIn0.1Z2rmgwVuPp_P4FzYiMmaKwxOfILASh62Hft9PMYqdI/image;s=644x461,14 888,adcc515d-65c3-499f-bacd-f4ea232ba2ee
190 000 km,Skoda,Octavia,2010,Benzina,122 CP,1 390 cm3,Fata,Euro 5,Manuala,Combi,5,Gri,5,Metalizata,,Germania,Da,Second hand,166 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjBrY2NsdnoyMnBkYzMtQVVUT1ZJVFJPIn0.mTYwVSMSY5Uw-B8hhK-z68RACOWbnCfHAVs46cc40WQ/image;s=644x461,4 999,81a15408-7240-43cb-bfde-b740e4e900d4
106 088 km,Skoda,Superb,2019,Diesel,150 CP,1 968 cm3,Fata,Euro 6,Automata,Sedan,5,Maro,5,Metalizata,,Romania,Da,Second hand,100 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImZ6OGpibjZ2YTUwaS1BVVRPVklUUk8ifQ.JpPqtQcXRbCOnHaewtDIMgXpdioRE9wd9KcEkJr9YKw/image;s=644x461,21 490,a8213144-b60e-4a45-b3d4-ffb66f8e09ef
223 000 km,Volvo,XC 60,2016,Diesel,181 CP,2 400 cm3,,,Automata,SUV,4,Gri,,Perlat,,,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijg0OGNyNjkxMnVhNTEtQVVUT1ZJVFJPIn0.LcIXO6VIkqZarK6SLev2q4rD4wYMuVWxbxq_7l_RMto/image;s=320x240,17 499,7d755d04-a4a4-4b16-8ac4-ced291451fd6
79 600 km,Suzuki,Jimny,2012,Benzina,85 CP,1 328 cm3,4x4 (manual),,Manuala,SUV,3,Negru,4,,Da,Romania,,Second hand,162 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImwzbjR3bXhwOHAzcDItQVVUT1ZJVFJPIn0.7WuH5RBgngiV7d5p20--3KBc_uT3kJvo8p0QCBdHXxU/image;s=320x240,8 500,ae2e75a5-1a37-48a9-895b-41604018417e
170 647 km,Skoda,Octavia,2018,Diesel,150 CP,1 968 cm3,4x4 (automat),Euro 6,Automata,Combi,5,Alb,5,Metalizata,,Romania,Da,Second hand,96 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InRlOTZmZGJucjI5OTItQVVUT1ZJVFJPIn0.nrZxBN4neOKfLwHNoZ29BzClLc2xwRkOyo1gTtDd2Sc/image;s=644x461,14 990,8d414ca2-de6c-457d-8281-2cfcd8e79c09
120 000 km,Skoda,Superb,2021,Diesel,150 CP,1 968 cm3,Fata,,Automata,Sedan,5,Alb,5,Metalizata,Da,,,Second hand,103 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjNtY25keTEwNnNsdjEtQVVUT1ZJVFJPIn0.Q3_6kY6N5RtBL8zvTSgbJdTs_n4jxZ8nqJiIG6IlLgc/image;s=644x461,23 681,791e0ca4-949f-4e52-9383-d4b52071c755
219 000 km,Ford,C-Max,2012,Diesel,115 CP,1 560 cm3,Fata,Euro 5,Manuala,Monovolum,5,Argint,5,Metalizata,Da,Germania,Da,Second hand,112 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjRnMDhpMjl5N3JjYi1BVVRPVklUUk8ifQ.41XeQOfBlt4ZIFogTV7SN2jspSZ4BBAkLQ7eTfD7ikk/image;s=320x240,5 990,990c8e03-92b0-413f-a68e-10fdd0b1af45
194 929 km,Peugeot,508,2014,Hibrid,163 CP,1 997 cm3,4x4 (automat),Euro 5,Automata,Combi,5,Gri,5,,,Olanda,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im5jdmV6MHZpZWVsazMtQVVUT1ZJVFJPIn0.L0xdUli9dPM3uPl5znpYfentVmQSmcuxuSx68b8ibm4/image;s=644x461,10 499,ea81ac0a-b02b-4965-9c2b-f388bedbff68
